Province,,ID,Interview Date,Version,Commune,Nº of prior non-responses ,Do you agree to participate in this survey?    ,1. What commune do you live in?,"2.	Gender       ","3.	What is your age?      ",4.What is the highest level of education you have completed?,"5.	What is your nationality?","6.	What is your ethnicity? ",7.What is your religion? ,8. Which one of these items do you have at home? ,9. Which types of medical care have you used in the last six months?,10. Which types of medical care have you used the most in the last six months?,11.a. [School teachers],11.b. [Scientific medicine practitioners],11.c.  [Traditional Chinese medicine practitioner],11.d. [Traditional Khmer medicine practitioner],"11.e. [Friends (e.g. boyfriend, close friends)]",11.f.[Monks and religious leaders],11.g. [Work colleagues or bosses],11.h. [Community leaders],"11.i.  [Close family (e.g. mother, siblings, wife, grandmother)]",12.a.​ [Cambodia],12.b. [Vietnam],12.c. [Thailand],12.d. [China],12.e. [US],12.f. [Europe],13.a. [TV],13.b.[Radio],13.c.[Newspapers],13.d. [Social Media(e.g. Facebook)],UCT,14. This list is about transportation,15. About medical condition and treatments,16. Thinking of your closest family and friends.,17. NT (a),18. NT (b),19. When was the most recent time you used bear bile or gall bladder for medicinal products?  ,Use_Bile_EVER,20. How often have you used bear bile or gall bladder for medicinal products in the last six months? ,Use_Bile,21.a.[Bear bile/bear gallbladder has medicinal value],21.b.[It is easy to find places to buy bear bile/bear gallbladder ],21.c.[There are effective medicinal alternatives to bear bile/bear gallbladder],21. d. [The use of bear bile/bear gallbladder is an important part of my culture],22.a.[ Most of the people I respect use bear bile or gallbladder for medicinal purposes],22.b.[Most people I respect have difficulty finding bear bile or gall bladder],22.c.[Most people I respect prefer scientific to traditional medicine],"22.d.[Most people I respect prefer bear bile or gall bladder from a Sun bear, not a moon bear]",Other information,Province ,Compaign site,,,,,,,,,
Preah Vihear,2/4/2019 13:07,CM154,22/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,65,Primary school, Cambodian         ,Khmer      ,Buddhist,"TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Trust,Completely distrust,Distrust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Trust,Trust,Distrust,Neither trust nor distrust,Don’t know,Don’t know,Completely trust,Trust,Trust,Don’t know,Don’t know,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Don’t know,Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:13,CM155,22/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,73,None, Cambodian         ,Khmer      ,Christian,"Mobile phone, Motorbike, Car/Van, Fan","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Neither trust nor distrust,Completely trust,Completely distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Completely trust,Distrust,Completely distrust,Neither trust nor distrust,Don’t know,Don’t know,Don’t know,Neither trust nor distrust,Trust,Don’t know,Don’t know,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither agree nor disagree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:17,CM156,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,52,None, Cambodian         ,"Khmer      , Lao (Lao Loum) ",Christian,"Mobile phone, Motorbike","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Trust,Trust,Don’t know,Completely trust,Trust,Completely distrust,Trust,Completely distrust,Don’t know,Don’t know,Neither trust nor distrust,Trust,Don’t know,Don’t know,Green (A)    ,4,2,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:22,CM157,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,23,High school, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Motorbike, Car/Van",Western medicine,Western medicine,Distrust,Trust,Distrust,Distrust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Trust,Completely distrust,Trust,Distrust,Trust,Trust,Don’t know,Don’t know,Don’t know,Don’t know,Green (A)    ,1,1,0-5%,0,0,Never ,0,Never ,0,Don’t know,Disagree,Disagree,Disagree,Disagree,Don’t know,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:26,CM158,22/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,72,Literacy certificate, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike","Western medicine, Traditional Khmer medicine",Western medicine,Neither trust nor distrust,Completely trust,Completely distrust,Trust,Neither trust nor distrust,Trust,Distrust,Trust,Completely trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Distrust,Don’t know,Don’t know,Red (B),1,1,0-5%,0,0,Never ,0,Never ,0,Agree,Disagree,Don’t know,Disagree,Agree,Agree,Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:33,CM159,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,21,Secondary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Distrust,Trust,Distrust,Trust,Distrust,Distrust,Completely trust,Trust,Completely distrust,Distrust,Distrust,Don’t know,Don’t know,Distrust,Distrust,Distrust,Trust,Green (A)    ,2,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:38,CM160,22/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,27,None, Cambodian         ,Khmer      ,Buddhist,"Mobile phone, Motorbike",Western medicine,Western medicine,Neither trust nor distrust,Neither trust nor distrust,Distrust,Distrust,Distrust,Distrust,Distrust,Trust,Trust,Trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Distrust,Distrust,Distrust,Completely distrust,Red (B),1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:42,CM161,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,25,Primary school, Cambodian         ,Khmer      ,Buddhist,Mobile phone,Western medicine,Western medicine,Trust,Completely trust,Distrust,Neither trust nor distrust,Trust,Trust,Trust,Trust,Completely trust,Trust,Completely distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Completely distrust,Green (A)    ,2,2,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:46,CM162,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,31,Primary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Motorbike",Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Completely distrust,Trust,Don’t know,Don’t know,Don’t know,Trust,Trust,Trust,Distrust,Green (A)    ,3,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:52,CM163,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,58,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Trust,Trust,Trust,Neither trust nor distrust,Distrust,Trust,Completely trust,Trust,Completely distrust,Trust,Trust,Trust,Trust,Neither trust nor distrust,Distrust,Trust,Completely distrust,Green (A)    ,2,3,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 13:56,CM164,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,60,None, Cambodian         ,Khmer      ,Buddhist,"Mobile phone, Bicycle, Motorbike","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Completely trust,Distrust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Trust,Completely trust,Trust,Neither trust nor distrust,Don’t know,Don’t know,Don’t know,Don’t know,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Green (A)    ,1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Don’t know,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:01,CM165,21/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,33,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Fan",Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Completely distrust,Completely distrust,Distrust,Completely trust,Completely distrust,Trust,Completely trust,Completely trust,Completely distrust,Completely trust,Completely distrust,Completely trust,Completely trust,Completely distrust,Completely distrust,Completely distrust,Completely distrust,Green (A)    ,2,2,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Don’t know,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:04,CM166,21/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,24,Primary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle",Western medicine,Western medicine,Completely trust,Completely trust,Completely distrust,Completely distrust,Completely trust,Neither trust nor distrust,Completely distrust,Completely trust,Completely trust,Completely trust,Completely distrust,Completely distrust,Completely distrust,Completely trust,Completely trust,Completely distrust,Neither trust nor distrust,Completely distrust,Neither trust nor distrust,Red (B),1,1,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Don’t know,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:08,CM167,22/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,22,Secondary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike",Western medicine,Western medicine,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Completely trust,Distrust,Distrust,Trust,Distrust,Trust,Trust,Neither trust nor distrust,Trust,Distrust,Distrust,Green (A)    ,2,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:14,CM168,21/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,22,Primary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Motorbike, Car/Van, Fan",Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Completely distrust,Completely distrust,Trust,Completely distrust,Trust,Trust,Completely trust,Trust,Completely distrust,Trust,Completely distrust,Trust,Trust,Trust,Trust,Completely distrust,Completely distrust,Red (B),1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:22,CM169,23/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,81,None, Cambodian         ,Khmer      ,Buddhist,Boat,Western medicine,Western medicine,Trust,Completely trust,Trust,Trust,Trust,Trust,Don’t know,Trust,Neither trust nor distrust,Trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Trust,Trust,Don’t know,Don’t know,Red (B),1,2,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,Question 8: In respondent's house has no items in the list. ,No,No,No data,No,No,No,No,Yes,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:26,CM170,22/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,32,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Distrust,Distrust,Distrust,Distrust,Distrust,Trust,Trust,Trust,Completely distrust,Trust,Don’t know,Trust,Trust,Trust,Trust,Trust,Completely distrust,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:29,CM171,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,37,None, Cambodian         ,"Khmer      , Chinese   ",Buddhist,"Tractor, TV, Mobile phone, Motorbike","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Trust,Distrust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Distrust,Completely distrust,Trust,Trust,Completely trust,Completely trust,Distrust,Trust,Neither trust nor distrust,Distrust,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:34,CM172,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,47,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Completely distrust,Neither trust nor distrust,Distrust,Completely distrust,Distrust,Trust,Completely trust,Trust,Distrust,Trust,Don’t know,Don’t know,Trust,Distrust,Distrust,Don’t know,Distrust,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Don’t know,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:41,CM173,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,32,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Completely trust,Trust,Distrust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Completely trust,Trust,Distrust,Neither trust nor distrust,Don’t know,Don’t know,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Don’t know,Red (B),2,3,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Agree,Don’t know,Agree,Strongly Agree,Neither agree nor disagree,Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:46,CM174,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,45,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone",Western medicine,Western medicine,Trust,Trust,Trust,Trust,Trust,Don’t know,Don’t know,Trust,Completely trust,Don’t know,Don’t know,Don’t know,Don’t know,Trust,Trust,Don’t know,Trust,Don’t know,Don’t know,Green (A)    ,2,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Neither agree nor disagree,Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:52,CM175,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,23,Secondary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Motorbike, Fan",Western medicine,Western medicine,Trust,Trust,Distrust,Trust,Trust,Trust,Trust,Trust,Completely trust,Trust,Completely distrust,Trust,Trust,Trust,Trust,Trust,Trust,Trust,Distrust,Green (A)    ,2,2,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:56,CM176,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,39,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike",Western medicine,Western medicine,Trust,Completely trust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Trust,Trust,Don’t know,Don’t know,Don’t know,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Green (A)    ,1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Don’t know,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 14:59,CM177,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,54,None, Cambodian         ,Khmer      ,Buddhist,"TV, Mobile phone, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Completely trust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Completely trust,Trust,Don’t know,Don’t know,Don’t know,Completely trust,Completely trust,Neither trust nor distrust,Neither trust nor distrust,Don’t know,Don’t know,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:05,CM178,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,24,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Completely distrust,Trust,Neither trust nor distrust,Trust,Neither trust nor distrust,Trust,Completely trust,Trust,Completely distrust,Completely distrust,Completely distrust,Completely distrust,Distrust,Trust,Distrust,Don’t know,Completely distrust,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Don’t know,Disagree,Strongly Agree,Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:09,CM179,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,41,None, Cambodian         ,Khmer      ,Buddhist,"Mobile phone, Motorbike","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Completely trust,Completely distrust,Distrust,Completely distrust,Completely trust,Distrust,Completely trust,Completely trust,Don’t know,Completely distrust,Distrust,Distrust,Distrust,Distrust,Trust,Trust,Don’t know,Don’t know,Green (A)    ,1,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:13,CM180,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,35,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Bicycle","Western medicine, Traditional Khmer medicine",Western medicine,Trust,Trust,Distrust,Distrust,Distrust,Distrust,Distrust,Trust,Completely trust,Trust,Don’t know,Distrust,Don’t know,Don’t know,Don’t know,Don’t know,Neither trust nor distrust,Don’t know,Don’t know,Green (A)    ,1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Strongly Agree,Don’t know,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:16,CM181,19/12/2018,A,Chhean Mukh,1,Yes,Chhean Mukh,Female,58,None, Cambodian         ,"Khmer      , Chinese   ",Buddhist,"Tractor, TV, Mobile phone, Motorbike, Fan","Western medicine, Traditional Khmer medicine, Traditional Chinese medicine",Traditional Chinese medicine,Trust,Completely trust,Neither trust nor distrust,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Trust,Completely trust,Trust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Trust,Trust,Trust,Neither trust nor distrust,Distrust,Green (A)    ,2,3,0-5%,0,0,Never ,0,Never ,0,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:21,CM182,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,43,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone","Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Trust,Trust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Trust,Distrust,Distrust,Neither trust nor distrust,Distrust,Green (A)    ,2,3,0-5%,0,0,Never ,0,Never ,0,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,None,No,No,No,Yes,No,No,No,Yes,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 15:25,CM183,19/12/2018,B,Chhean Mukh,1,Yes,Chhean Mukh,Female,35,University Degree, Cambodian         ,Khmer      ,Buddhist,"TV, Mobile phone, Fridge/Freezer, Motorbike, Car/Van, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Neither trust nor distrust,Trust,Don’t know,Distrust,Neither trust nor distrust,Neither trust nor distrust,Neither trust nor distrust,Distrust,Trust,Don’t know,Completely distrust,Don’t know,Distrust,Trust,Completely trust,Trust,Trust,Distrust,Completely distrust,Red (B),1,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 7:25,CM184,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,33,None, Cambodian         ,Khmer      ,Buddhist,"Tractor, Mobile phone, Bicycle, Motorbike",Western medicine,Western medicine,Trust,Completely trust,Distrust,Trust,Neither trust nor distrust,Distrust,Distrust,Distrust,Trust,Distrust,Completely distrust,Trust,Distrust,Distrust,Trust,Distrust,Distrust,Distrust,Completely distrust,Red (B),1,2,0-5%,0,0,Never ,0,Never ,0,Don’t know,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 7:30,CM185,19/12/2018,A,Chhean Mukh,1,Yes,Chhean Mukh,Female,54,High school, Cambodian         ,Khmer      ,Buddhist,Bicycle,Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Don’t know,Trust,Distrust,Distrust,Distrust,Distrust,Trust,Neither trust nor distrust,Completely distrust,Completely distrust,Don’t know,Trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Green (A)    ,6,0,0-5%,0,0,Never ,0,Never ,0,Neither agree nor disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Question 8: In respondent's house has no items in the list. ,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 8:41,CM186,19/12/2018,B,Chhean Mukh,0,Yes,Chhean Mukh,Female,52,Primary school, Cambodian         ,Khmer      ,Buddhist,"Tractor, TV, Mobile phone, Motorbike, Fan",Western medicine,Western medicine,Don’t know,Completely trust,Don’t know,Neither trust nor distrust,Don’t know,Don’t know,Don’t know,Neither trust nor distrust,Trust,Don’t know,Distrust,Don’t know,Don’t know,Don’t know,Don’t know,Distrust,Distrust,Don’t know,Don’t know,Red (B),1,1,0-5%,0,0,Never ,0,Never ,0,Don’t know,Don’t know,Agree,Disagree,Disagree,Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 8:46,CM187,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,63,Primary school, Cambodian         ,Khmer      ,Buddhist,"Mobile phone, Bicycle, Motorbike, Fan","Western medicine, Traditional Khmer medicine",Western medicine,Neither trust nor distrust,Completely trust,Neither trust nor distrust,Trust,Trust,Distrust,Neither trust nor distrust,Distrust,Trust,Distrust,Trust,Neither trust nor distrust,Trust,Completely trust,Completely trust,Distrust,Distrust,Neither trust nor distrust,Neither trust nor distrust,Green (A)    ,3,1,0-5%,0,0,Never ,0,Never ,0,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 8:53,CM188,19/12/2018,B,Chhean Mukh,2,Yes,Chhean Mukh,Female,46,Literacy certificate, Cambodian         ,Khmer      ,Buddhist,"Mobile phone, Motorbike",Western medicine,Western medicine,Neither trust nor distrust,Completely trust,Don’t know,Trust,Distrust,Distrust,Don’t know,Distrust,Trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Distrust,Distrust,Don’t know,Don’t know,Red (B),2,1,0-5%,0,0,Never ,0,Never ,0,Agree,Disagree,Strongly Agree,Disagree,Don’t know,Don’t know,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
Preah Vihear,2/4/2019 8:57,CM189,19/12/2018,A,Chhean Mukh,0,Yes,Chhean Mukh,Female,48,None, Cambodian         ,Khmer      ,Buddhist,TV,"Western medicine, Traditional Khmer medicine",Traditional Khmer medicine,Completely trust,Completely trust,Distrust,Distrust,Trust,Distrust,Trust,Completely trust,Completely trust,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Green (A)    ,2,3,0-5%,0,0,Never ,0,Never ,0,Don’t know,Disagree,Don’t know,Don’t know,Strongly Disagree,Strongly Agree,Strongly Agree,Don’t know,None,No,No,No,No,No,No,No,No,No,Preah Vihear,Control site
